District,Year,Month,Rainfall,Inflow From Other States,Consumption,Irrigation,Industry,Domestic
6,2025,5,63.82,1114.38,27.31,25.57,0.71,0.88
6,2025,6,23.53,360.69,42.78,38.77,0.57,0.89
6,2025,7,11.03,206.09,32.45,27.78,0.47,0.89
6,2025,8,2.05,128.38,20.85,20.03,0.41,0.86
6,2025,9,1.78,89.61,13.69,14.77,0.27,0.76
6,2025,10,16.71,104.81,11.42,11.85,0.34,0.73
6,2025,11,79.18,1544.03,17.25,14.34,0.66,1.36
6,2025,12,75.19,1851.71,74.88,81.65,0.48,1.23
6,2026,1,56.51,1243.44,22.74,16.83,0.49,0.71
6,2026,2,40.57,343.35,25.96,20.97,0.36,0.86
6,2026,3,10.28,183.47,20.83,19.46,0.31,0.86
6,2026,4,1.27,111.28,16.02,16.12,0.27,0.81
6,2026,5,1.83,88.36,13.11,14.12,0.25,0.75
6,2026,6,13.81,106.67,10.76,11.56,0.28,0.71
6,2026,7,59.55,1623.60,10.19,5.87,0.47,0.97
6,2026,8,46.66,2029.11,42.71,53.13,0.18,0.59
6,2026,9,55.24,1349.89,18.50,15.43,0.37,0.66
6,2026,10,37.62,351.20,21.05,17.21,0.25,0.78
6,2026,11,9.93,171.74,17.93,16.94,0.26,0.83
6,2026,12,1.65,105.47,14.84,15.04,0.23,0.79
6,2027,1,1.79,85.10,12.42,13.44,0.22,0.74
6,2027,2,11.67,103.16,10.44,11.53,0.26,0.71
6,2027,3,54.65,1591.23,8.14,3.00,0.43,0.84
6,2027,4,44.50,2054.95,38.70,48.13,0.13,0.54
6,2027,5,54.41,1384.64,17.90,15.43,0.35,0.64
6,2027,6,37.73,363.46,20.36,16.71,0.23,0.76
6,2027,7,10.52,171.36,17.56,16.56,0.25,0.82
6,2027,8,1.86,105.63,14.68,14.88,0.22,0.78
6,2027,9,1.75,84.91,12.37,13.38,0.21,0.74
6,2027,10,11.07,101.95,10.41,11.56,0.25,0.71
6,2027,11,53.01,1540.59,6.96,2.65,0.42,0.81
6,2027,12,44.06,2061.35,38.23,48.19,0.13,0.55
6,2028,1,53.66,1403.30,17.90,15.63,0.34,0.64
6,2028,2,38.24,372.98,20.26,16.64,0.23,0.75
6,2028,3,10.89,172.76,17.52,16.51,0.25,0.82
6,2028,4,1.98,106.41,14.69,14.87,0.22,0.78
6,2028,5,1.71,84.99,12.40,13.40,0.21,0.74
6,2028,6,10.76,101.22,10.41,11.60,0.25,0.71
6,2028,7,51.63,1503.87,6.16,2.79,0.42,0.80
6,2028,8,43.70,2064.80,37.94,48.31,0.13,0.55
6,2028,9,53.13,1415.89,17.91,15.78,0.34,0.63
6,2028,10,38.61,379.56,20.21,16.61,0.23,0.74
6,2028,11,11.15,173.79,17.51,16.47,0.24,0.82
6,2028,12,2.08,106.97,14.70,14.86,0.22,0.78
7,2024,1,63.19,969.26,82.94,78.50,0.40,0.75
7,2024,2,57.84,419.80,39.12,32.45,0.61,0.92
7,2024,3,48.29,346.22,35.66,31.76,0.58,0.90
7,2024,4,147.73,342.83,32.50,27.82,0.59,0.86
7,2024,5,243.11,905.60,69.68,61.29,1.15,2.01
7,2024,6,63.58,775.86,104.59,106.00,0.44,0.96
7,2024,7,43.16,403.29,56.71,50.73,0.46,0.75
7,2024,8,24.60,240.30,33.39,30.72,0.48,0.79
7,2024,9,22.62,164.75,22.53,20.73,0.52,0.88
7,2024,10,17.61,131.83,17.55,16.51,0.46,0.84
7,2024,11,32.19,136.58,10.68,10.91,0.52,0.80
7,2024,12,133.63,1430.65,40.58,39.59,1.20,2.26
7,2025,1,183.31,1345.24,117.47,99.56,1.83,2.97
7,2025,2,43.20,1232.98,43.74,37.29,0.69,0.82
7,2025,3,47.95,346.94,40.28,33.22,0.56,0.91
7,2025,4,15.94,205.17,29.48,25.50,0.48,0.90
7,2025,5,3.70,130.95,20.09,19.31,0.40,0.85
7,2025,6,3.40,101.57,15.52,16.23,0.35,0.80
7,2025,7,15.58,106.05,11.74,12.16,0.34,0.74
7,2025,8,87.56,1540.95,22.01,19.05,0.77,1.53
7,2025,9,87.50,1773.16,84.08,87.12,0.62,1.47
7,2025,10,56.69,1188.46,24.28,17.57,0.53,0.73
7,2025,11,40.89,336.68,27.92,22.63,0.40,0.87
7,2025,12,10.61,186.68,21.76,20.23,0.34,0.87
7,2026,1,1.25,113.58,16.36,16.45,0.29,0.81
7,2026,2,2.08,90.13,13.32,14.35,0.26,0.76
7,2026,3,15.04,108.21,10.82,11.49,0.30,0.71
7,2026,4,64.26,1635.42,12.55,8.20,0.49,1.06
7,2026,5,48.76,2010.31,45.62,56.89,0.22,0.63
7,2026,6,55.76,1326.76,19.00,15.48,0.39,0.66
7,2026,7,37.57,346.83,21.64,17.77,0.27,0.79
7,2026,8,9.55,172.65,18.25,17.25,0.26,0.83
7,2026,9,1.50,105.59,14.98,15.18,0.23,0.79
7,2026,10,1.79,85.29,12.47,13.50,0.22,0.75
7,2026,11,12.03,103.88,10.47,11.52,0.26,0.71
7,2026,12,55.20,1608.09,8.54,3.79,0.44,0.86
7,2027,1,44.70,2050.72,39.12,48.46,0.13,0.54
7,2027,2,54.72,1376.25,17.95,15.37,0.35,0.65
7,2027,3,37.57,359.59,20.44,16.76,0.24,0.76
7,2027,4,10.37,170.98,17.60,16.61,0.25,0.82
7,2027,5,1.80,105.41,14.69,14.89,0.22,0.78
7,2027,6,1.77,84.90,12.37,13.38,0.21,0.74
7,2027,7,11.22,102.29,10.41,11.55,0.25,0.71
7,2027,8,53.64,1556.31,7.31,2.59,0.42,0.82
7,2027,9,44.22,2059.88,38.35,48.13,0.13,0.54
7,2027,10,53.89,1397.79,17.89,15.56,0.35,0.64
7,2027,11,38.07,370.04,20.28,16.65,0.23,0.75
7,2027,12,10.78,172.29,17.52,16.52,0.25,0.82
7,2028,1,1.95,106.17,14.68,14.87,0.22,0.78
7,2028,2,1.72,84.96,12.39,13.40,0.21,0.74
7,2028,3,10.85,101.44,10.41,11.58,0.25,0.71
7,2028,4,52.02,1515.02,6.40,2.76,0.42,0.81
7,2028,5,43.81,2063.77,38.03,48.28,0.13,0.55
7,2028,6,53.30,1412.08,17.90,15.73,0.34,0.63
7,2028,7,38.49,377.50,20.22,16.62,0.23,0.74
7,2028,8,11.07,173.44,17.51,16.48,0.24,0.82
7,2028,9,2.05,106.79,14.69,14.87,0.22,0.78
7,2028,10,1.69,85.04,12.41,13.41,0.21,0.74
7,2028,11,10.61,100.88,10.42,11.61,0.25,0.71
7,2028,12,51.00,1486.31,5.79,2.86,0.41,0.80
9,2024,1,284.48,839.41,168.40,160.79,0.09,0.23
9,2024,2,136.92,540.43,153.22,147.49,0.13,0.07
9,2024,3,83.40,206.62,130.90,136.04,0.13,0.07
9,2024,4,156.47,59.29,91.48,91.64,0.11,0.17
9,2024,5,640.60,120.65,77.05,73.13,0.10,0.17
9,2024,6,686.71,829.39,288.01,279.51,0.23,0.09
9,2024,7,47.88,802.53,71.04,60.15,0.69,0.02
9,2024,8,44.77,222.76,96.57,100.67,0.26,0.20
9,2024,9,154.17,75.76,87.20,83.69,0.15,0.25
9,2024,10,451.54,96.47,84.77,79.08,0.18,0.24
9,2024,11,590.43,380.41,203.50,196.59,0.19,0.19
9,2024,12,65.24,354.10,171.58,171.26,0.14,0.03
9,2025,1,125.91,169.90,107.64,107.91,0.04,0.29
9,2025,2,594.18,180.80,100.48,91.70,0.27,0.53
9,2025,3,728.40,732.48,251.50,239.86,0.32,0.24
9,2025,4,42.44,576.90,117.42,113.36,0.34,0.06
9,2025,5,57.08,136.07,114.64,120.35,0.13,0.06
9,2025,6,315.06,47.03,93.34,87.93,0.27,0.47
9,2025,7,771.66,260.56,147.46,139.27,0.25,0.27
9,2025,8,370.94,631.17,271.53,268.55,0.24,0.07
9,2025,9,42.58,368.33,89.44,92.79,0.44,0.15
9,2025,10,182.82,116.20,102.90,100.44,0.14,0.41
9,2025,11,640.40,169.52,114.07,104.25,0.32,0.51
9,2025,12,639.26,676.26,266.08,255.15,0.37,0.17
9,2026,1,37.13,392.28,122.28,123.35,0.29,0.04
9,2026,2,65.14,122.28,108.00,111.65,0.08,0.08
9,2026,3,510.07,78.73,89.06,80.71,0.27,0.54
9,2026,4,862.19,621.27,230.28,221.43,0.31,0.28
9,2026,5,57.87,538.22,170.04,169.71,0.10,0.05
9,2026,6,37.81,180.18,106.13,111.64,0.23,0.14
9,2026,7,337.74,67.45,91.80,85.43,0.25,0.49
9,2026,8,821.89,320.15,157.44,149.80,0.25,0.36
9,2026,9,351.97,677.70,265.01,261.72,0.25,0.13
9,2026,10,43.29,365.99,88.43,92.42,0.45,0.14
9,2026,11,136.95,96.95,103.89,102.73,0.11,0.35
9,2026,12,626.11,118.63,100.53,92.85,0.31,0.52
9,2027,1,736.28,721.31,271.25,261.33,0.36,0.15
9,2027,2,35.29,500.72,117.08,114.09,0.37,0.02
9,2027,3,44.59,155.94,105.72,110.28,0.18,0.07
9,2027,4,400.32,77.53,87.96,80.62,0.26,0.51
9,2027,5,820.93,417.22,183.57,174.91,0.26,0.28
9,2027,6,183.90,537.42,236.02,235.11,0.06,0.18
9,2027,7,32.94,222.55,104.42,110.68,0.29,0.17
9,2027,8,278.57,71.71,96.78,90.82,0.23,0.48
9,2027,9,811.02,258.64,137.90,129.96,0.25,0.42
9,2027,10,512.22,810.14,278.74,271.17,0.36,0.13
9,2027,11,50.55,559.31,76.36,74.88,0.62,0.08
9,2027,12,66.18,149.19,105.62,109.39,0.13,0.04
9,2028,1,382.80,62.97,92.35,86.07,0.28,0.50
9,2028,2,738.53,319.96,177.05,167.69,0.27,0.21
9,2028,3,186.38,428.47,235.81,236.63,0.04,0.12
9,2028,4,30.36,192.00,113.51,119.94,0.24,0.15
9,2028,5,400.46,98.87,93.18,84.55,0.24,0.53
9,2028,6,862.52,467.75,182.99,174.15,0.30,0.47
9,2028,7,241.60,720.29,221.82,217.14,0.16,0.25
9,2028,8,39.09,241.35,104.44,112.28,0.30,0.07
9,2028,9,162.86,62.96,104.00,102.04,0.20,0.43
9,2028,10,682.70,113.72,104.30,96.90,0.31,0.49
9,2028,11,721.28,792.43,286.74,277.83,0.37,0.11
9,2028,12,40.90,625.32,90.45,84.95,0.55,0.06
13,2024,1,248.59,1124.95,207.51,208.50,0.01,0.18
13,2024,2,99.06,592.51,188.49,185.20,0.13,0.14
13,2024,3,58.36,187.04,150.80,154.07,0.14,0.18
13,2024,4,85.22,5.23,112.86,114.91,0.08,0.10
13,2024,5,413.43,30.63,80.05,74.86,0.17,0.24
13,2024,6,906.25,314.74,148.47,150.38,0.03,0.13
13,2024,7,393.02,1108.01,259.07,257.41,0.29,0.14
13,2024,8,105.75,1060.66,23.66,16.94,1.05,0.30
13,2024,9,45.16,266.04,92.14,95.57,0.31,0.26
13,2024,10,66.78,103.33,93.21,94.53,0.01,0.03
13,2024,11,65.73,32.22,65.14,65.51,0.01,0.15
13,2024,12,15.88,92.90,23.38,24.77,0.47,0.70
13,2025,1,45.18,96.92,15.53,14.74,0.57,0.81
13,2025,2,850.85,522.79,78.54,65.93,3.84,7.05
13,2025,3,967.67,1547.97,208.69,193.19,4.31,7.36
13,2025,4,34.17,1985.66,31.39,30.39,0.69,0.65
13,2025,5,65.00,1077.30,27.26,25.82,0.72,0.89
13,2025,6,22.94,357.41,42.69,38.89,0.57,0.89
13,2025,7,10.59,204.18,32.40,27.74,0.47,0.89
13,2025,8,1.95,127.03,20.79,19.97,0.41,0.86
13,2025,9,1.91,89.59,13.63,14.72,0.27,0.76
13,2025,10,17.56,105.20,11.32,11.70,0.35,0.74
13,2025,11,82.36,1544.18,19.22,16.28,0.69,1.43
13,2025,12,81.91,1819.14,79.53,84.65,0.54,1.34
13,2026,1,56.69,1222.85,23.56,17.10,0.51,0.72
13,2026,2,40.92,340.72,26.91,21.71,0.38,0.86
13,2026,3,10.41,185.30,21.30,19.86,0.33,0.86
13,2026,4,1.23,112.38,16.20,16.28,0.28,0.81
13,2026,5,1.90,89.09,13.22,14.24,0.25,0.76
13,2026,6,14.34,107.44,10.81,11.54,0.29,0.71
13,2026,7,61.38,1628.67,11.19,6.70,0.48,1.01
13,2026,8,47.58,2021.32,43.96,54.76,0.19,0.60
13,2026,9,55.42,1340.32,18.71,15.46,0.38,0.66
13,2026,10,37.62,349.17,21.28,17.44,0.26,0.79
13,2026,11,9.77,172.12,18.06,17.07,0.26,0.83
13,2026,12,1.59,105.51,14.90,15.10,0.23,0.79
13,2027,1,1.78,85.16,12.44,13.47,0.22,0.74
13,2027,2,11.81,103.43,10.45,11.52,0.26,0.71
13,2027,3,54.77,1599.35,8.33,3.34,0.44,0.85
13,2027,4,44.59,2053.31,38.85,48.23,0.13,0.54
13,2027,5,54.55,1380.96,17.91,15.40,0.35,0.64
13,2027,6,37.66,361.83,20.39,16.73,0.23,0.76
13,2027,7,10.46,171.19,17.57,16.58,0.25,0.82
13,2027,8,1.83,105.52,14.68,14.88,0.22,0.78
13,2027,9,1.76,84.90,12.37,13.38,0.21,0.74
13,2027,10,11.14,102.08,10.41,11.55,0.25,0.71
13,2027,11,53.30,1548.13,7.13,2.63,0.42,0.81
13,2027,12,44.16,2060.67,38.32,48.21,0.13,0.55
13,2028,1,53.76,1400.72,17.90,15.60,0.35,0.64
13,2028,2,38.16,371.64,20.27,16.65,0.23,0.75
13,2028,3,10.84,172.56,17.53,16.51,0.25,0.82
13,2028,4,1.97,106.29,14.68,14.87,0.22,0.78
13,2028,5,1.71,84.99,12.40,13.40,0.21,0.74
13,2028,6,10.80,101.32,10.41,11.59,0.25,0.71
13,2028,7,51.77,1508.00,6.25,2.78,0.42,0.80
13,2028,8,43.70,2064.39,37.93,48.23,0.13,0.55
13,2028,9,53.19,1414.56,17.91,15.76,0.34,0.63
13,2028,10,38.56,378.82,20.21,16.61,0.23,0.74
13,2028,11,11.12,173.64,17.51,16.48,0.24,0.82
13,2028,12,2.07,106.90,14.69,14.86,0.22,0.78
10,2024,1,402.67,1269.52,243.82,241.83,0.25,0.16
10,2024,2,64.20,1090.66,160.00,155.08,0.10,0.27
10,2024,3,35.30,283.72,134.35,133.66,0.25,0.25
10,2024,4,20.80,83.54,92.80,95.37,0.09,0.11
10,2024,5,128.51,37.78,53.35,51.33,0.04,0.06
10,2024,6,140.31,15.63,41.99,38.22,0.07,0.38
10,2024,7,654.68,274.42,47.16,46.65,0.55,1.25
10,2024,8,794.70,1722.75,249.52,246.80,2.05,3.59
10,2024,9,55.80,1839.58,21.89,18.12,0.77,0.59
10,2024,10,102.53,720.77,19.78,19.50,0.96,0.72
10,2024,11,4.74,235.46,52.25,47.97,0.38,0.80
10,2024,12,0.66,153.27,33.54,29.40,0.41,0.75
10,2025,1,1.18,107.36,19.54,18.74,0.41,0.84
10,2025,2,4.03,88.53,13.05,14.26,0.29,0.75
10,2025,3,31.26,141.25,7.24,8.42,0.48,0.77
10,2025,4,343.66,968.70,80.70,62.03,2.59,4.53
10,2025,5,542.02,1035.64,129.93,99.06,4.08,6.70
10,2025,6,53.55,1177.21,116.34,97.40,2.45,3.43
10,2025,7,58.22,1100.71,31.93,27.16,0.78,0.85
10,2025,8,20.91,344.03,48.32,42.86,0.57,0.93
10,2025,9,11.64,182.95,34.66,29.93,0.55,0.83
10,2025,10,9.01,136.91,22.49,21.39,0.50,0.88
10,2025,11,5.62,102.68,15.60,16.23,0.37,0.79
10,2025,12,18.99,107.00,11.68,11.80,0.38,0.75
10,2026,1,144.25,1415.51,38.80,36.45,1.28,2.40
10,2026,2,238.84,1258.67,122.04,98.74,2.33,3.72
10,2026,3,19.33,1342.70,60.28,56.82,0.87,1.12
10,2026,4,46.85,386.34,42.06,33.56,0.60,0.95
10,2026,5,18.27,214.73,32.73,28.13,0.52,0.88
10,2026,6,6.67,137.26,21.85,20.39,0.45,0.87
10,2026,7,3.66,106.30,16.44,16.97,0.38,0.81
10,2026,8,13.05,103.23,12.38,12.89,0.34,0.74
10,2026,9,77.42,1505.79,14.83,11.65,0.65,1.30
10,2026,10,81.71,1827.44,77.34,82.95,0.54,1.34
10,2026,11,55.79,1248.88,23.48,17.37,0.49,0.71
10,2026,12,41.44,346.16,26.29,21.16,0.36,0.86
10,2027,1,10.70,185.54,21.02,19.60,0.32,0.86
10,2027,2,1.43,112.60,16.11,16.18,0.27,0.81
10,2027,3,1.85,89.02,13.20,14.21,0.25,0.76
10,2027,4,13.70,106.43,10.79,11.60,0.28,0.71
10,2027,5,59.29,1617.87,9.92,5.66,0.47,0.96
10,2027,6,46.46,2029.53,42.57,53.00,0.18,0.59
10,2027,7,55.16,1352.14,18.48,15.44,0.37,0.65
10,2027,8,37.68,352.41,21.02,17.19,0.25,0.78
10,2027,9,9.99,171.85,17.91,16.92,0.26,0.83
10,2027,10,1.67,105.54,14.83,15.03,0.23,0.79
10,2027,11,1.78,85.10,12.42,13.44,0.22,0.74
10,2027,12,11.62,103.05,10.44,11.53,0.26,0.71
10,2028,1,54.66,1587.75,8.07,2.88,0.43,0.83
10,2028,2,44.50,2055.43,38.71,48.19,0.13,0.54
10,2028,3,54.36,1385.84,17.90,15.44,0.35,0.64
10,2028,4,37.77,364.15,20.35,16.70,0.23,0.76
10,2028,5,10.55,171.47,17.56,16.56,0.25,0.82
10,2028,6,1.86,105.70,14.68,14.88,0.22,0.78
10,2028,7,1.75,84.92,12.38,13.39,0.21,0.74
10,2028,8,11.05,101.89,10.41,11.56,0.25,0.71
10,2028,9,52.91,1538.05,6.90,2.66,0.42,0.81
10,2028,10,44.04,2061.67,38.22,48.22,0.13,0.55
10,2028,11,53.62,1404.17,17.90,15.64,0.34,0.64
10,2028,12,38.26,373.34,20.26,16.64,0.23,0.75
18,2024,1,190.54,1887.15,186.79,192.28,0.30,0.50
18,2024,2,44.98,1455.25,77.08,66.78,0.34,0.37
18,2024,3,45.61,460.95,73.36,70.25,0.46,0.45
18,2024,4,8.31,200.82,51.47,49.49,0.30,0.59
18,2024,5,9.51,133.83,26.84,24.91,0.48,0.75
18,2024,6,2.46,90.37,17.67,17.19,0.42,0.83
18,2024,7,11.70,92.46,13.33,13.67,0.38,0.77
18,2024,8,137.29,1246.13,22.33,20.53,0.95,1.95
18,2024,9,301.97,1248.53,123.78,102.20,2.51,4.09
18,2024,10,9.26,1430.81,77.15,75.21,1.04,1.39
18,2024,11,53.00,461.77,39.77,30.45,0.69,0.99
18,2024,12,20.54,234.11,35.48,30.76,0.52,0.86
18,2025,1,8.69,145.44,23.79,21.43,0.47,0.88
18,2025,2,4.03,111.23,17.50,17.71,0.41,0.83
18,2025,3,10.43,100.34,12.95,13.60,0.34,0.75
18,2025,4,58.70,1303.81,4.27,2.08,0.53,0.91
18,2025,5,84.87,1867.11,68.94,76.54,0.57,1.36
18,2025,6,51.88,1378.99,24.22,18.96,0.42,0.70
18,2025,7,44.86,393.01,24.42,19.59,0.32,0.80
18,2025,8,12.61,191.56,20.41,18.91,0.30,0.85
18,2025,9,2.22,115.94,16.02,15.99,0.26,0.81
18,2025,10,1.54,89.07,13.28,14.22,0.24,0.76
18,2025,11,11.07,101.01,10.75,11.84,0.26,0.71
18,2025,12,51.42,1449.57,5.30,2.63,0.43,0.81
18,2026,1,43.56,2057.56,38.88,50.25,0.15,0.58
18,2026,2,52.46,1425.53,18.17,15.99,0.34,0.63
18,2026,3,39.26,387.50,20.35,16.73,0.23,0.73
18,2026,4,11.46,175.81,17.59,16.53,0.25,0.82
18,2026,5,2.20,107.97,14.76,14.91,0.22,0.79
18,2026,6,1.64,85.29,12.47,13.46,0.21,0.75
18,2026,7,10.37,100.32,10.44,11.65,0.25,0.71
18,2026,8,49.65,1446.52,5.15,2.84,0.41,0.78
18,2026,9,42.94,2069.02,37.29,48.14,0.13,0.56
18,2026,10,52.29,1435.67,17.95,15.99,0.34,0.63
18,2026,11,39.17,389.96,20.10,16.55,0.22,0.73
18,2026,12,11.57,175.33,17.46,16.41,0.24,0.82
18,2027,1,2.23,107.85,14.70,14.85,0.22,0.79
18,2027,2,1.64,85.18,12.45,13.43,0.21,0.74
18,2027,3,10.22,99.98,10.42,11.66,0.24,0.71
18,2027,4,49.36,1434.40,5.00,2.74,0.40,0.78
18,2027,5,42.91,2069.45,37.45,48.47,0.13,0.56
18,2027,6,52.10,1439.57,17.99,16.04,0.34,0.63
18,2027,7,39.32,392.16,20.11,16.56,0.22,0.72
18,2027,8,11.64,175.76,17.48,16.41,0.24,0.82
18,2027,9,2.25,108.05,14.72,14.86,0.22,0.79
18,2027,10,1.63,85.20,12.46,13.44,0.21,0.75
18,2027,11,10.16,99.85,10.43,11.67,0.24,0.71
18,2027,12,49.10,1424.89,4.92,2.68,0.40,0.78
18,2028,1,42.91,2069.62,37.43,48.57,0.14,0.57
18,2028,2,51.95,1442.70,18.00,16.08,0.34,0.63
18,2028,3,39.43,393.96,20.10,16.55,0.22,0.72
18,2028,4,11.71,176.08,17.48,16.41,0.24,0.82
18,2028,5,2.28,108.21,14.72,14.86,0.22,0.79
18,2028,6,1.62,85.25,12.46,13.44,0.21,0.75
18,2028,7,10.11,99.77,10.43,11.67,0.24,0.71
18,2028,8,48.85,1416.15,4.84,2.64,0.40,0.77
18,2028,9,42.84,2069.78,37.33,48.53,0.14,0.57
18,2028,10,51.84,1445.43,18.01,16.11,0.33,0.63
18,2028,11,39.51,395.47,20.09,16.54,0.22,0.72
18,2028,12,11.77,176.31,17.47,16.40,0.24,0.82
20,2024,1,298.25,1497.81,200.00,202.96,0.39,0.56
20,2024,2,56.03,1192.00,123.86,119.65,0.20,0.41
20,2024,3,37.51,320.27,102.47,102.72,0.32,0.33
20,2024,4,18.55,186.89,49.65,51.28,0.28,0.41
20,2024,5,27.84,125.86,25.81,28.71,0.51,0.63
20,2024,6,13.84,87.94,20.47,20.21,0.51,0.80
20,2024,7,30.09,97.39,13.79,12.89,0.56,0.81
20,2024,8,556.73,689.19,79.95,63.23,3.32,5.86
20,2024,9,805.38,1240.53,151.33,127.89,4.41,7.36
20,2024,10,10.23,1924.12,69.98,64.75,0.88,1.02
20,2024,11,61.55,1147.26,28.31,25.67,0.71,0.86
20,2024,12,24.00,359.94,43.86,39.33,0.58,0.90
20,2025,1,11.63,201.40,32.63,27.94,0.49,0.88
20,2025,2,3.20,131.61,21.07,20.35,0.42,0.86
20,2025,3,1.36,89.98,14.13,15.22,0.29,0.77
20,2025,4,16.22,104.15,11.54,11.97,0.34,0.74
20,2025,5,84.26,1529.65,19.37,16.33,0.71,1.45
20,2025,6,89.90,1791.02,83.61,87.14,0.61,1.46
20,2025,7,56.20,1213.32,24.42,17.69,0.52,0.73
20,2025,8,41.55,340.99,27.64,22.30,0.39,0.87
20,2025,9,10.71,187.33,21.71,20.17,0.34,0.87
20,2025,10,1.28,113.79,16.35,16.42,0.29,0.81
20,2025,11,1.94,89.92,13.35,14.37,0.26,0.76
20,2025,12,14.56,107.63,10.85,11.55,0.29,0.71
